text/AK01042008CW241182005.txt:Mr.Abhinav Prasad, Advocate.
text/BDA16052007CW36792007.txt:Advocates who appeared in this case:
text/BDA16052007CW36792007.txt:: Mr Ashok Desai, Sr Advocate with
text/BDA16052007CW36792007.txt:: Mr V. Shekhar, Senior Advocate with
text/BDA16052007CW36792007.txt:: Mr Rajiv Nayyar, Sr Advocate
text/BDA16072007CW77562005.txt:Advocates who appeared in this case:
text/BDA17012008EX2652007.txt:Advocates who appeared in this case:
text/BDA17012008OMP3852007.txt:Advocates who appeared in this case:
text/BDA17032008S25302007.txt:Advocates who appeared in this case:For the Plaintiffs
text/BDA17032008S25462007.txt:Advocates who appeared in this case:For the Plaintiffs
text/BDA17042007BA44262006.txt:Advocates who appeared in this case:
text/BDA17042007BA44262006.txt:: Mr Harjinder Singh, Sr. Advocate with Mr Yogesh K. Saxena,
text/BDA17042007BA44262006.txt:he had a right to call his advocate before recording the evidence. It is the submission
text/BDA17042007CRLR2762006.txt:Advocates who appeared in this case:
text/BDA17042007CRLR2762006.txt:: Mr K.K. Sud, Sr Advocate with Mr Vijay Aggarwal
text/BDA17042007CW175832006.txt:Advocates who appeared in this case:
text/BDA17042007CW175832006.txt:: Mr S.K. Mishra, Sr Advocate with Mr Anuj Rajput
text/BDA17042007CW175832006.txt:: Mr Aman Lekhi, Sr Advocate with Mr Sumit
text/BDA17042007CW28282006.txt:Advocates who appeared in this case:
text/BDA17042007CW72102006.txt:Advocates who appeared in this case:
text/BDA17042007CW72112006.txt:Advocates who appeared in this case:
text/BDA17042007CW72202006.txt:Advocates who appeared in this case:
text/BDA17072007CW33432001.txt:Advocates who appeared in this case:
text/BDA17082007S1462004.txt:Advocates who appeared in this case:
text/BDA17082007S1462004.txt:: Mr Anil Kher Sr Advocate with Mr D.R.Bhatia
text/BDA18032008S21902007.txt:Advocates who appeared in this case:For the Plaintiffs
text/BDA18072007CRLR9382003.txt:Advocates who appeared in this case:
text/BDA18092007S2198A1997.txt:Advocates who appeared in this case:For the Petitioner
text/BDA18092007S6282005.txt:Advocates who appeared in this case:For the Plaintiff
text/BDA18092007S7332007.txt:Advocates who appeared in this case:
text/BDA19022007CW102572006.txt:Advocates who appeared in this case:
text/BDA19022007CW11012007.txt:Advocates who appeared in this case:
text/BDA19022007CW11012007.txt:: Mr Rakesh Khanna, Sr. Advocate
text/BDA19042007CRLR7142004.txt:Advocates who appeared in this case:
text/BDA19042007CRLR7142004.txt:: Mr R.N. Mittal, Sr Advocate with Mr Pawan Kumar Mittal.
text/BDA19042007CRLR8712006.txt:Advocates who appeared in this case:
text/BDA19042007CW26852007.txt:Advocates who appeared in this case:
text/BDA19042007CW26852007.txt:: Mr M. L. Rawal, Sr. Advocate with Mr Kuljeet Rawal
text/BDA19072007CW77982001.txt:Advocates who appeared in this case:
text/BDA19092007OMP2942005.txt:Advocates who appeared in this case:
text/BDA19092007OMP2942005.txt:consent of the counsel for the parties, I appoint Mr Jayant Nath, Sr Advocate as
text/BDA20022007CW118432006.txt:Advocates who appeared in this case:
text/BDA20022007CW118432006.txt:: Mr P.V. Kapoor, Sr Advocate with Mr S.K. Bhaduri.
text/BDA20022007CW167602007.txt:Advocates who appeared in this case:
text/BDA20022007CW167602007.txt:: Mr Y.P. Narula, Sr Advocate with Mr Manoj Ohri
text/BDA20022007CW167612007.txt:Advocates who appeared in this case:
text/BDA20022007CW167612007.txt:: Mr Y.P. Narula, Sr Advocate with Mr Manoj Ohri
text/BDA20022007S3632007.txt:Advocates who appeared in this case:
text/BDA20022007S3632007.txt:: Mr Valmiki Mehta, Sr Advocate with Mr N.L. Ganapathi
text/BDA20022008S3632007.txt:Advocates who appeared in this case:
text/BDA20022008S3632007.txt:: Mr Valmiki Mehta, Sr Advocate with Mr N.L. Ganapathi
text/BDA20032007CW119572006.txt:Advocates who appeared in this case:
text/BDA20032007CW119572006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119572006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119572006.txt:Advocates who appeared in this case:
text/BDA20032007CW119572006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119572006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119572006.txt:Advocates who appeared in this case:
text/BDA20032007CW119572006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119572006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119572006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119572006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119572006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119572006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119572006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW119582006.txt:Advocates who appeared in this case:
text/BDA20032007CW119582006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119582006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119582006.txt:Advocates who appeared in this case:
text/BDA20032007CW119582006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119582006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119582006.txt:Advocates who appeared in this case:
text/BDA20032007CW119582006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119582006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119582006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119582006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119582006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119582006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119582006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW119592006.txt:Advocates who appeared in this case:
text/BDA20032007CW119592006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119592006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119592006.txt:Advocates who appeared in this case:
text/BDA20032007CW119592006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119592006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119592006.txt:Advocates who appeared in this case:
text/BDA20032007CW119592006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119592006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119592006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119592006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119592006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119592006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119592006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW119602006.txt:Advocates who appeared in this case:
text/BDA20032007CW119602006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119602006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119602006.txt:Advocates who appeared in this case:
text/BDA20032007CW119602006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119602006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119602006.txt:Advocates who appeared in this case:
text/BDA20032007CW119602006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119602006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119602006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119602006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119602006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119602006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119602006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW119612006.txt:Advocates who appeared in this case:
text/BDA20032007CW119612006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119612006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119612006.txt:Advocates who appeared in this case:
text/BDA20032007CW119612006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119612006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119612006.txt:Advocates who appeared in this case:
text/BDA20032007CW119612006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119612006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119612006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119612006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119612006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119612006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119612006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW119622006.txt:Advocates who appeared in this case:
text/BDA20032007CW119622006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119622006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119622006.txt:Advocates who appeared in this case:
text/BDA20032007CW119622006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119622006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119622006.txt:Advocates who appeared in this case:
text/BDA20032007CW119622006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119622006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119622006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119622006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119622006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119622006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119622006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW119632006.txt:Advocates who appeared in this case:
text/BDA20032007CW119632006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119632006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119632006.txt:Advocates who appeared in this case:
text/BDA20032007CW119632006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119632006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119632006.txt:Advocates who appeared in this case:
text/BDA20032007CW119632006.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW119632006.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW119632006.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW119632006.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW119632006.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW119632006.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW119632006.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW14032007.txt:Advocates who appeared in this case:
text/BDA20032007CW14032007.txt:: Mr Brijender Chacher, Sr. Advocate with Mr Rajat Navet
text/BDA20032007CW14542006.txt:Advocates who appeared in this case:
text/BDA20032007CW17142007.txt:Advocates who appeared in this case:
text/BDA20032007CW17142007.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW17142007.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW17142007.txt:Advocates who appeared in this case:
text/BDA20032007CW17142007.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW17142007.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW17142007.txt:Advocates who appeared in this case:
text/BDA20032007CW17142007.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW17142007.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW17142007.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW17142007.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW17142007.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW17142007.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW17142007.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20032007CW18952007.txt:Advocates who appeared in this case:
text/BDA20032007CW18952007.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW18952007.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW18952007.txt:Advocates who appeared in this case:
text/BDA20032007CW18952007.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW18952007.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW18952007.txt:Advocates who appeared in this case:
text/BDA20032007CW18952007.txt:: Mr Manmohan, Sr Advocate with Mr Rakesh Gosain.
text/BDA20032007CW18952007.txt:: Mr A.K. Singla, Sr Advocate with Mr Pankaj Gupta and
text/BDA20032007CW18952007.txt:working of the present committee, the opinion of their advocate was taken.
text/BDA20032007CW18952007.txt:Their advocate, Mr Rakesh Gosain, informed the committee members, after
text/BDA20032007CW18952007.txt:candidates is only with the NBE. The said advocate also pointed out that the
text/BDA20032007CW18952007.txt:the advocate was sought. The legal opinion was given and the same is on
text/BDA20032007CW18952007.txt:opinion obtained from the advocate as well as the recommendation received
text/BDA20062007CW4982006.txt:Advocates who appeared in this case:
text/BDA20072007CRLR4281999.txt:Advocates who appeared in this case:
text/BDA20092007OMP622005.txt:Advocates who appeared in this case:
text/BDA21012008S13382004.txt:Advocates who appeared in this case:
text/BDA21022007CW13142007.txt:Advocates who appeared in this case:
text/BDA21022007CW137512006.txt:Advocates who appeared in this case:
text/BDA21042007CW149792006.txt:Advocates who appeared in this case:
text/BDA21042007CW149792006.txt:Advocate,
text/BDA21042007CW149792006.txt:practicing advocate. It is further contended that the said letter dated 26.10.2005 is also
text/BDA21042007CW149792006.txt:son/daughter/spouse, if an advocate, may be allotted the said
text/BDA21042007CW149792006.txt:single allottee dies, his son/daughter/spouse, if an advocate, may be
text/BDA21042007CW149792006.txt:who is the son of Shri P.K. Mukherjee (advocate), has been handed over on behalf of
text/BDA21042007CW149792006.txt:(the said annexure P-3) was signed by Shri P.K. Mukherjee (advocate). It is also stated
text/BDA21042007CW149792006.txt:P.K. Mukherjee (advocate). The affidavit is given by Dr Pranab Kumar Mukherjee,
text/BDA21042007CW150712006.txt:Advocates who appeared in this case:
text/BDA21042008S34261991.txt:Advocates who appeared in this case:
text/BDA21052007CW175162004.txt:Advocates who appeared in this case:
text/BDA21052007CW29792003.txt:Advocates who appeared in this case:
text/BDA21052007CW29792003.txt:: Mr Sandeep Sethi, Sr Advocate with Mr Lakshay Sawhney,
text/BDA22012008S20802006.txt:Advocates who appeared in this case:
text/BDA22012008TRPC22008.txt:Advocates who appeared in this case:
text/BDA22022008AA4452007.txt:Advocates who appeared in this case:
text/BDA22022008AA4452007.txt:: Mr A.S. Chandhiok, Sr Advocate with Mr Vikas Dhawan
text/BDA22022008AA4452007.txt:: Mr Jayant Bhushan, Sr Advocate with Mr Girish Kumar
text/BDA22022008S17042007.txt:Advocates who appeared in this case:For the Plaintiff
text/BDA22042008OMP4442002.txt:Advocates who appeared in this case:
text/BDA22042008OMP4442002.txt:: Mr Rajiv Datta, Sr. Advocate with Mr Dhruv Dewan
text/BDA22042008S14202005.txt:Advocates who appeared in this case:
text/BDA22042008S14202005.txt:: Mr Rajiv Nayar Sr Advocate with Mr Manmohan Singh
text/BDA22042008S14202005.txt:: Mr Neeraj Kaul Sr Advocate with Mr Sanjeev Sachdeva,
text/BDA22042008S24542007.txt:Advocates who appeared in this case:
text/BDA22042008S24542007.txt:Mr Sanjay Jain Sr Advocates with Mr Vijay Sondhi,
text/BDA22042008S24542007.txt:: Mr Dushyant Dave, Sr Advocate with Mr Praveen Anand,
text/BDA22052007CW23352007.txt:Advocates who appeared in this case:
text/BDA22052007CW34752007.txt:Advocates who appeared in this case:
text/BDA23012008OMP482008.txt:Advocates who appeared in this case:
text/BDA23012008OMP502008.txt:Advocates who appeared in this case:
text/BDA23012008OMP51&542008.txt:Advocates who appeared in this case:
text/BDA23012008OMP522008.txt:Advocates who appeared in this case:
text/BDA23012008OMP55&572008.txt:Advocates who appeared in this case:
text/BDA23012008OMP562008.txt:Advocates who appeared in this case:
text/BDA23022007CW130022006.txt:Advocates who appeared in this case:
text/BDA23042007CW134722006.txt:Advocates who appeared in this case:
text/BDA23042007CW162082006.txt:Advocates who appeared in this case:
text/BDA23042007CW55092005.txt:Advocates who appeared in this case:
text/BDA23072007CW39112007.txt:Advocates who appeared in this case:
text/BDA23072007CW41441998.txt:Advocates who appeared in this case:
text/BDA23102007CW62902006.txt:Advocates who appeared in this case:
text/BDA23102007CW62902006.txt:: Mr Neeraj Kaul, Sr. Advocate with Mr Sanjiv Sachdeva
text/BDA23102007CW62902006.txt:Mr Neeraj Kishan Kaul, Senior Advocate, appeared on behalf
text/BDA23102007S17212006.txt:Advocates who appeared in this case:
text/BDA23102007S20352002.txt:Advocates who appeared in this case:
text/BDA23102007S6751999.txt:Advocates who appeared in this case:For the Plaintiff
text/BDA23102007S6751999.txt:: Mr R. K. Anand, Sr. Advocate with Ms Shivani Lal,
text/BDA23102007S6751999.txt:: Mr Valmiki Mehta, Sr. Advocate with Mr Vinay Garg
text/BDA23102007S6751999.txt:For the Defendant Nos.2-13: Mr Arun Mohan, Sr. Advocate with Mr Rajesh Yadav and
text/BDA23112007CW38702008.txt:Advocates who appeared in this case:-
text/BDA23112007CW38702008.txt:Advocates who appeared in this case:-
text/BDA23112007CW38702008.txt:Advocates who appeared in this case:-
text/BDA23112007CW38702008.txt:Advocates who appeared in this case:-
text/BDA24012008S21041993.txt:Advocates who appeared in this case:
text/BDA24042007BA1632006.txt:Advocates who appeared in this case:
text/BDA24042007CRLR2752006.txt:Advocates who appeared in this case:
text/BDA24042007CRLR3112005.txt:Advocates who appeared in this case:
text/BDA24042007CRLR3112005.txt:: Mr R.N. Mittal Sr Advocate with Mr Puneet Mittal and Mr
text/BDA24042007CRLR5842005.txt:Advocates who appeared in this case:
text/BDA24052007S13882003.txt:Advocates who appeared in this case:For the Plaintiff
text/BDA24052007S13882003.txt:: Dr A.M. Singhvi, Sr Advocate with MrRajiv Nayar, Sr Advocate,
text/BDA24052007S13882003.txt:For the Defendants1 & 2: Mr Sudhir Chandra, Sr Advocate with Mr Pravin Anand,
text/BDA24052007S13882003.txt:Advocate Bar Association, Tamil Nadu v. Union of India: AIR 2005 SC 3353
text/BDA24072007CW112942004.txt:Advocates who appeared in this case:
text/BDA24072007CW171152004.txt:Advocates who appeared in this case:
text/BDA24072007CW171152004.txt:: Mr Sandeep Sethi, Sr Advocate with Mr K.K. Sharma
text/BDA24072007CW171162004.txt:Advocates who appeared in this case:
text/BDA24072007CW171162004.txt:: Mr Sandeep Sethi, Sr Advocate with Mr K.K. Sharma
text/BDA24082007AA3812006.txt:Advocates who appeared in this case:
text/BDA24092007S9442004.txt:Advocates who appeared in this case:
text/BDA24102007S10832006.txt:Advocates who appeared in this case:For the Plaintiff
text/BDA24102007S15642006.txt:Advocates who appeared in this case:For the Plaintiff
text/BDA24102007S16432005.txt:Advocates who appeared in this case:
text/BDA24102007S16432005.txt:: Mr C. A. Sundaram, Sr. Advocate with Mr Sandeep
text/BDA24102007S16432005.txt:to the defendants from Bangalore through the plaintiff’s advocate. The
text/BDA24102007S16432005.txt:advocate, part of the cause of action also arose at Bangalore.
text/BDA25032008S14592007.txt:Advocates who appeared in this case:
text/BDA25032008S14592007.txt:: Mr Sudhir Chandra, Sr Advocate with Mr Amarjeet Singh,
text/BDA25032008S14592007.txt:Advocate Bar Association, Tamil Nadu v. Union of India : (2005) 6 SCC
text/BDA25032008S14592007.txt:notice taken out on behalf of the advocates of the plaintiff with regard to the
text/BDA25072007CW53662007.txt:Advocates who appeared in this case:
text/BDA25092007OMP1302004.txt:Advocates who appeared in this case:
text/BDA26022007CW693-942005.txt:Advocates who appeared in this case:
text/BDA26032007CRLR4022006.txt:Advocates who appeared in this case:For the Petitioner
text/BDA26032008S15552007.txt:Advocates who appeared in this case:
text/BDA26042007CRLR3952006.txt:Advocates who appeared in this case:
text/BDA26042007CRLR3952006.txt:: Mr K.K. Sud, Sr Advocate with Mr Jayant Sud, Mr Neeraj Jain,
text/BDA26042007CW149032006.txt:Advocates who appeared in this case:
text/BDA26042007CW149032006.txt:: Mr Valmiki Mehta, Sr Advocate with Mr Asheesh Jain and
text/BDA26092007OMP1182007.txt:Advocates who appeared in this case:
text/BDA26092007OMP1182007.txt:Advocate for arbitration.
text/BDA27022007CW15152007.txt:Advocates who appeared in this case:
text/BDA27072007CW107212005.txt:Advocates who appeared in this case:
text/BDA27082007AA602007.txt:Advocates who appeared in this case:
text/BDA27082007S22701996.txt:Advocates who appeared in this case:
text/BDA27082007S22701996.txt:case of Salem Advocate Bar Association, Tamil Nadu v. Union of India:
text/BDA27082007S22701996.txt:in Salem Advocate Bar Association (supra) was in the context of additional
text/BDA27082007S22701996.txt:While considering the effect of this deletion the Supreme Court observed:“13. In Salem Advocate Bar Assn. (I) v. Union of India, (2003) 1
text/BDA27092007OMP4142005.txt:Advocates who appeared in this case:
text/BDA28022007CW10122007.txt:Advocates who appeared in this case:
text/BDA28022008S16601998.txt:Advocates who appeared in this case:
text/BDA28032007CW23252007.txt:Advocates who appeared in this case:
text/BDA28032008AAP12008.txt:Advocates who appeared in this case:
text/BDA28032008S22342007.txt:Advocates who appeared in this case:For the Plaintiffs
text/BDA28032008S22352007.txt:Advocates who appeared in this case:For the Plaintiffs
text/BDA28092007AA1352007.txt:Advocates who appeared in this case:
text/BDA29032007CW20762007.txt:Advocates who appeared in this case:
text/BDA29032007CW20762007.txt:: Mr Rajiv Shakhder, Sr. Advocate with Mr Nabik Syam
text/BDA29052006CRLR1682005.txt:Advocates who appeared in this case:For the Petitioner
text/BDA29082007S11922005.txt:Advocates who appeared in this case:
text/BDA29082007S2664a1992.txt:Advocates who appeared in this case :
text/BDA29102007S10942004.txt:Advocates who appeared in this case:
text/BDA30032007CW46732006.txt:Advocates who appeared in this case:
text/BDA30032007CW46732006.txt:: Mr Rajiv Nayar, Sr. Advocate with Mr Nitin Dayal and Kamal Mehta
text/BDA30032007CW93842006.txt:Advocates who appeared in this case:
text/BDA30032007CW93902006.txt:Advocates who appeared in this case:
text/BDA30032007CW93912006.txt:Advocates who appeared in this case:
text/BDA30032007CW93922006.txt:Advocates who appeared in this case:
text/BDA30032007CW93942006.txt:Advocates who appeared in this case:
text/BDA30032007CW93962006.txt:Advocates who appeared in this case:
text/BDA30032007CW94042006.txt:Advocates who appeared in this case:
text/BDA30032007CW94052006.txt:Advocates who appeared in this case:
text/BDA30032007CW94072006.txt:Advocates who appeared in this case:
text/BDA30032007CW94082006.txt:Advocates who appeared in this case:
text/BDA30032007CW94162006.txt:Advocates who appeared in this case:
text/BDA30032007CW94172006.txt:Advocates who appeared in this case:
text/BDA30032007CW94182006.txt:Advocates who appeared in this case:
text/BDA30032007CW94422006.txt:Advocates who appeared in this case:
text/BDA30032007CW94432006.txt:Advocates who appeared in this case:
text/BDA30032007CW94452006.txt:Advocates who appeared in this case:
text/BDA30042008OMP122008.txt:Advocates who appeared in this case:
text/BDA30102007S13052004.txt:Advocates who appeared in this case:
text/BDA30102007S4942005.txt:Advocates who appeared in this case:
text/BDA31012007CW104552006.txt:Advocates who appeared in this case:
text/BDA31012007CW104552006.txt:: Mr A.B. Dial, Sr Advocate with Mr Ajay Gaind
text/BDA31012007CW8076-72003.txt:Advocates who appeared in this case:
text/BDA31012007CW80772003.txt:Advocates who appeared in this case:
text/BDA31012007CW80782003.txt:Advocates who appeared in this case:
text/BDA31012007CW93052006.txt:Advocates who appeared in this case:
text/BDA31052007CW40372007.txt:Advocates who appeared in this case:
text/BDA31052007CW40372007.txt:: Mr Shanti Bhushan, Sr Advocate with Mr Valmiki Mehta,
text/BDA31052007CW40372007.txt:Sr Advocate with Mr Manu Nair, Mr Rajendra Kumar,
text/BDA31052007CW40372007.txt:: Mr Amarinder Saran (ASG) with Mr V.P. Singh, Sr Advocate
text/BDA31052007CW40372007.txt:: Mr Parag Tripathi, Sr Advocate with Mr Mukul Rohatgi,
text/BDA31052007CW40372007.txt:Sr Advocate, Mr Neeraj Kishan Kaul, Sr Advocate, Mr Rajiv
text/BDA31052007CW40372007.txt:Nayar, Sr Advocates, Mr Darpan Wadhwa,
text/BDA31052007CW40372007.txt:Mehta, senior advocate (in the absence of Mr Shanti Bhushan on 30.5.2007).
text/BDA31072007CW34722007.txt:Advocates who appeared in this case:
text/BDA31082007S5272007.txt:Advocates who appeared in this case:
text/BDA31082007S5272007.txt:: Mr Rajiv Shakdhar, Sr. Advocate with Mr Himanshu Bagai
text/BDA31082007S5272007.txt:: Mr Rajiv Nayar, Sr. Advocate with Mr Mahesh Agarwal,
text/BDA31102007ITA11292007.txt:Advocates who appeared in this case:
text/BDA31102007S19422006.txt:Advocates who appeared in this case:
text/BNC03072007BA32612005.txt:The petitioner, an Advocate by profession,
text/BNC05112007CRLA4982004.txt:Sh. S.P. Minocha, Advocate notifying to the general
text/BNC06082007CRLA6992005.txt:Through : Mr. V.K. Raina, Advocate
text/BNC07082007CRLA7922005.txt:Advocate
text/BNC09102007TRP22007.txt:Appearing for CBI, Sh. R.M. Tiwari, Advocate
text/BNC10082007BA15402007.txt:Sr. Advocate with Mr. Rohit Jain,
text/BNC14082007CRLW9302007.txt:for Ms. Mukta Gupta, Advocate for the
text/BNC14082007CRLW9302007.txt:Ms. Meenakshi Arora, Advocate for NHRC.
text/BNC14122007CRLA3552005.txt:Sharma, Advocates
text/BNC14122007CRLA3552005.txt:Advocate, appearing for the CBI.
text/BNC14122007CRLA3552005.txt:advocate
text/BNC14122007CRLA3552005.txt:Mr. Mukesh Kalia, Advocate
text/BNC15022008CRLA7342004.txt:Mr. Anil Soni, Advocate for
text/BNC17082007BA45612006.txt:Through : Mr. Anil Soni, Advocate
text/BNC17082007BA45612006.txt:statement of PW Kunwar Ayub Ali, Advocate,
text/BNC22022008CRLA6542005.txt:Mr. K.B. Andley, learned Senior advocate
text/BNC25012008CRLA4272004.txt:We have heard Mr. R.S. Mishra, Advocate and
text/BNC25012008CRLA4272004.txt:Mr. Sumeet Verma, Advocate for appellant No.1
text/GM02032007CW14482001.txt:through Mr. Ravi Prakash, Advocate
